nicht	not
alsdann	then
folgt	follow
meer	sea
richt	right
mud	mud
gericht	court
blut	blood
wald	forest
schritt	step
spiel	game
hielt	held
geschaft	busi
wirst	will
gultig	valid
genau	exact
verstandesbegriff	understanding concept
blickt	look
schweiz	switzerland
unmittelbar	direct
schliess	close
vielmehr	much mor
leut	peopl
schnell	fast
schwarz	black
trag	wear
dunois	dunoi
lernt	learn
abend	even
vermittel	convey
lief	ran
lag	lay
lacht	laugh
lern	learn
prinzip	principl
oben	abov
regressus	regressus
voraussetz	presuppos
analyt	analyst
kaufmann	merchant
hinaus	out
sonn	sun
kaum	bare
totalitat	total
leis	quiet
bitt	plea
logik	logic
stolz	proud
dergleich	the lik
mind	at least
thier	thier
regeln	regul
vollkomm	perfect
gestalt	shape
sehn	see
veracht	despis
wiederum	in turn
zusamm	togeth
bod	bod
darub	about it
fuss	foot
fort	continu
stein	stone
luft	air
glied	element
spiegelberg	spiegelberg
wichtig	import
lebt	live
raub	robberi
feld	field
daniel	daniel
unterscheid	differ
wissenschaft	scienc
hauptmann	captain
sofort	immedi
legt	lay
wein	wine
sterb	die
fenst	window
denkend	think
weisheit	wisdom
schlimm	terribl
morg	tomorrow
gleichwohl	nonetheless
zeig	show
dieselb	same
abschnitt	section
spat	late
verknupf	link
seyn	be
off	off
lauf	run
falsch	incorrect
gefahr	danger
demselb	the sam
gehn	go
vergess	forget
empfind	sensat
ruhig	quiet
ziel	goal
angetroff	encount
burgund	burgundi
dogmat	dogmat
grosst	grosst
vorgestellt	present
kritik	critic
schluss	end
statt	instead of
uberall	everywher
hart	hard
dicht	close
onkel	uncl
begann	start
durchgang	passag
liebt	love
spricht	speak
deutlich	clear
dabei	includ
gemein	mean
herrmann	herrmann
schlecht	bad
sinnenwelt	sensory world
wodurch	through which
berg	mountain
brust	breast
gieng	went
fing	caught
leni	leni
lebend	live
hohl	hollow
betrachtet	consid
vergang	past
dafur	for that
land	countri
kunst	art
eign	own
sowohl	as well a
hoffnung	hope
sitz	seat
seid	are
unschuld	innoc
meinung	opinion
teufel	devil
irgend	ani
freud	freud
mitleid	piti
dennoch	nonetheless
sprech	speak
wahrschein	probabl
trotzd	anyway
schatt	shadow
erhob	he lift
andr	andr
kosmolog	cosmologist
verander	chang
frei	free
philosophi	philosophi
betrifft	regard
klar	clear
ruh	rest
einzeln	individu
freilich	of cours
ordnung	order
obgleich	although
gang	corridor
dasjen	that on
nimm	take
genannt	call
plotzlich	sudden
neb	neb
lehrt	teach
worauf	what
trat	step
schwert	sword
geandert	chang
haar	hair
apperzeption	appercept
offenbar	appar
nimmt	take
widerspruch	contradict
wild	wild
glucklich	happi
beharr	insist
obzwar	although
gerecht	just
seht	look
tausend	thousand
moral	moral
kamala	kamala
lacheln	smile
beschaff	procur
wand	wall
wohin	where
baum	tree
gleichsam	as it wer
ruck	shock
ahnlich	similar
wacht	wakes up
oberst	colonel
selig	bless
demnach	therefor
tisch	tabl
beruht	is bas
einbildungskraft	imagin
dahin	there
schmerz	pain
genomm	taken
halb	half
ward	ward
gewohn	usual
gemeinschaft	communiti
ausmach	figure out
gekomm	come
tod	death
scham	shame
gefund	found
kam	came
bemerk	notic
schicksal	fate
interess	interest
geistlich	spiritu
verfahr	procedur
rach	rach
erwart	expect
weh	sore
erhab	sublim
roll	roll
besteht	consist
hir	hir
verbind	connect
ehr	hon
gelt	valid
todt	dead
denkt	think
bish	so far
annehm	accept
jemand	someon
untersuch	examin
bereit	readi
bein	leg
stellt	provid
zeich	sign
acht	eight
schloss	lock
burstn	burstn
wach	awak
schwach	weak
fallt	fall
kleid	a dress
damal	back then
unsr	our
vorig	previous
beispiel	exampl
quell	sourc
jemal	ever
grad	degre
gering	small amount
geschloss	close
durf	allow
philosoph	philosoph
angeklagt	accus
zieh	pull
nied	down
fried	peac
regulativ	regulatori
betracht	consid
folglich	consequ
gelernt	learn
voraus	in adv
turhut	turkey hat
sieg	victori
intelligibl	intellig
geseh	seen
gelang	succeed
buch	book
allererst	first of al
gilt	appli
freundlich	friend
auftritt	occur
formal	formal
hell	bright
eigenschaft	characterist
aufzug	elev
unbekannt	unknown
holl	hell
geschah	happen
kampf	battl
unabhang	independ
folgend	follow
thun	do
sorel	sorel
gebard	born
bank	bank
fiel	fell
wag	dare
brahman	brahman
ist	is
herrn	mr
diejen	those
streit	disput
platz	place
wind	wind
bedeutet	mean
schliesslich	final
einsicht	insight
hinein	into it
hinweg	across
gesetzt	set
dunkel	dark
person	person
ohr	ear
syst	syst
schwierig	difficult
apprehension	apprehens
geleg	locat
wartet	wait
verli	lose
schema	scheme
vorh	exist
widerstreit	conflict
itzt	now
tritt	occur
entgeg	counter
anblick	sight
razmann	razmann
aufmerksam	attent
krieg	war
vergeb	forgiv
traurig	sad
einfluss	influenc
helf	help
soldat	soldier
gottlich	divin
mitt	mid
sehnsucht	long
edl	nobl
warf	threw
erlos	proceed
real	real
geld	money
besteh	exist
krank	sick
funktion	function
prokurist	authorized repres
findet	find
fasst	summar
existenz	exist
stehn	stand
nachd	after
schaff	creat
samana	samana
durft	may
gemut	mind
ideal	ideal
zukunft	futur
vollend	complet
schaffend	creat
zuletzt	last
haupt	main
versucht	tri
lionel	lionel
paar	coupl
vollendet	complet
weisst	know
hund	dog
ungluck	bad luck
erhalt	receipt
anwend	appli
last	load
eigentum	properti
gegenwart	present
jungfrau	virgo
zweifel	doubt
gegenub	opposit
fuhl	feel
verhalt	behavior
antinomi	antinomi
verlangt	demand
stern	star
gebracht	brought
hoff	hope
gemass	according to
erschi	appear
deshalb	for this reason
schonheit	beauti
bedarf	requir
ritt	ride
gegenteil	opposit
tanz	danc
hass	hate
bestand	durat
vasudeva	vasudeva
heraus	out of her
sah	saw
meng	meng
angeseh	view
leg	leg
begreif	understand
isabeau	isabeau
charakt	charact
indess	howev
deduktion	deduct
lini	lini
sass	sat
kalt	cold
hinreich	suffici
fehl	miss
aufgab	gave up
hinauf	up
dunkl	dark
trotz	despit
knab	knab
begeb	go
stuck	piec
schwieg	remained sil
block	block
steig	rise
schlug	hit
les	read
gefuhl	feel
buddha	buddha
elend	miseri
hauptstuck	main piec
wozu	for what reason
bringt	bring
zahl	number
erbarm	have merci
sanft	soft
bekomm	get
trug	wore
ausserst	extrem
sessel	armchair
umfang	scope
opf	victim
chatel	chateau
heftig	violent
scheinbar	seem
erlaubt	allow
bemerkt	notic
wunsch	wish
lug	lie
gold	gold
druckt	print
entspring	aris
gelegt	place
ekel	disgust
beruh	rest
entdeck	discov
narr	fool
dank	thanks to
schuld	fault
befehl	command
blind	blind
hasslich	ugli
klug	smart
werth	worth
zusammengesetzt	compos
fehlt	miss
untersuchungsricht	investigative direct
verbund	composit
inbegriff	epitom
punkt	point
erreich	reach
willkur	arbitrari
entscheid	decis
brauch	need
viert	fourth
grubach	grubach
gefall	like
auflos	open
beobacht	observ
erwartet	expect
geschicht	stori
grimm	grim
warm	warm
hilf	help
nennt	call
sorg	worri
dreht	rotat
offnet	open
mond	moon
anzunehm	to accept
entfernt	remov
gesproch	spoken
gehalt	salari
angenomm	accept
verteid	defenc
geliebt	love
gezog	pull
fabrikant	manufactur
wovon	about what
ess	eat
fluch	cur
schrie	shout
machtig	power
gesprach	convers
frankreich	franc
schau	look
trepp	stair
talbot	talbot
auf	on
abstrahiert	abstract
ring	ring
uberzeug	convict
vergleich	comparison
mittel	medium
sprich	say
vier	four
verborg	hidden
fein	fine
gefuhrt	guid
bewies	prove
fahn	fahn
wohnung	apart
erzahl	tell
erreicht	reach
sund	sound
untereinand	among themselv
kett	warp
verlang	demand
hundert	hundr
besitz	posse
vorsicht	caution
analogi	analog
schweig	shut up. be quiet
vogel	bird
figur	figur
braucht	need
existi	existi
denkmal	monument
lachelnd	smile
zweckmass	expedi
samanas	samana
einschrank	a cabinet
sturm	storm
kehrt	return
beschaftigt	busi
ausfuhr	export
erklart	explain
uberleg	consid
direktorstellvertret	deputy director
kenntnis	knowledg
grab	dig
kunftig	futur
metaphys	metaphi
bracht	brought
anspruch	claim
kennt	know
stattfind	take plac
beamt	offici
glucksel	chuckl
hiess	was cal
nutz	use
wesent	essenti
schlag	hit
zaub	magic
umson	free
demjen	demyen
geradezu	downright
gab	gave
aufseh	look up
streng	strict
schlussel	key
stoff	materi
erinnert	remind
flieg	fli
durchaus	absolut
insgesamt	in tot
erfullt	fulfil
erfordert	requir
unbestimmt	indefinit
rasch	quick
gegrundet	found
thran	thran
schreib	write
brief	letter
kron	crown
stumm	mute
erzahlt	told
muth	courag
wahl	choic
vorteil	advantag
vorlauf	leader
ausmacht	makes up
eilig	hurri
sprang	jump
flach	flat
apodikt	apodict
wolk	cloud
ruhm	fame
staub	dust
dynam	dynam
erinner	rememb
nirgend	nowher
fahrmann	driver
feu	fire
band	tape
verwandelt	transform
gass	gas
abgrund	abyss
wohlan	well
desto	the mor
existiert	exist
mangel	shortag
erweiter	expand
partei	political parti
treu	faith
gewohnt	use
seyd	seyd
versteht	understand
manchmal	sometim
ubermensch	superhuman
reicht	suffic
raimond	raymond
darstell	repres
anzutreff	encount
schweigend	silent
gelehrt	taught
vernunftschluss	reason
erfull	fulfil
beruf	profess
hung	hung
bekannt	known
woh	wow
urteilskraft	judgment
ernst	serious
eilt	rush
wert	valu
lachelt	smile
ungeduld	impati
dunkt	dunk
grundlich	thorough
durst	thirst
suss	sweet
transzendent	transcend
schatz	treasur
bewegt	emot
jungling	youth
vernein	no
hangt	hang
abgeleitet	deriv
fromm	religi
hervor	out
spott	scoff
einteil	a part
vernunftbegriff	concept of reason
irrtum	mistak
entgegengesetzt	opposit
ausserhalb	outsid
weilch	becaus
drangt	penetr
jugend	youth
tragt	carri
bedenk	consid
tier	anim
dient	serv
getan	did
entsteh	aris
burg	castl
waff	wow
dasselb	the sam
rock	skirt
seltsam	strang
verzweifl	despair
blitz	lightn
stieg	rose
wahrsag	fortune tel
treff	meet
behauptet	claim
furst	princ
gest	gest
method	method
spielt	play
schult	train
hypothes	hypothesi
identitat	ident
gerichtsdi	court di
gegang	gone
schreck	fright
gegn	oppos
vorhergeh	previous
frisch	fresh
gehabt	had
fortgang	continu
rucksicht	consider
vorzimm	pre-room
wagt	dare
pobel	mob
gewalt	forc
kosinsky	kosinski
ich	i
gnadig	gracious
bunt	color
stet	stead
schlang	snake
lipp	lip
uberwind	overcom
sittlich	moral
nachdenk	think
erheb	rais
schuf	creat
hutt	hutt
kreis	circl
liebend	love
hal	hal
lied	song
vorausgesetzt	provid
zufried	satisfi
verderb	spoil
beurteil	judg
geduld	patienc
concreto	concret
gleichgult	indiffer
verknupft	connect
fahr	drive
gnad	gracious
niedrig	low
grundet	found
ebensowohl	as wel
unwiss	ignor
tatsach	inde
fahig	capabl
schad	too bad
denselb	same
esel	donkey
rath	rath
eingeschrankt	restrict
bewusst	conscious
heil	unhurt
art	art
unvermeid	unavoid
gattung	genus
nochmal	again
begrenzt	limit
famili	famili
betreff	refer
gast	guest
keinesweg	no way
anzuseh	to look at
werf	throw
nickt	nod
sukzessiv	success
gewinn	profit
vorkomm	occur
gestellt	place
kritisch	critic
naturgesetz	natural law
scharf	sharp
eindruck	impress
geschrieb	written
mitternacht	midnight
wurdig	worthi
bescheid	notic
wust	wow
vornehm	posh
erfolg	success
tocht	daughter
verstandesgebrauch	use of mind
mudig	tire
seien	be
offn	openn
tafel	blackboard
abhang	slope
kannt	know
trink	drink
held	hero
hierbei	here
herzog	duke
grau	gray
fass	barrel
vorzug	prefer
entstand	origin
noth	noth
stirn	forehead
schutz	protect
thut	doe
geheimnis	secret
vermeint	suppos
bejah	affirm
link	link
bosheit	malic
erweit	expand
geblieb	stay
full	full
derjen	those
vorhergeht	preced
angst	fear
pflicht	duti
bettl	bedl
heer	armi
eingab	enter
hinab	down
definition	definit
schrank	wardrob
graf	count
schlacht	battl
zorn	anger
gotama	gotama
beruhmt	famous
bezog	relat
wohnt	live
drauss	outsid
oberflach	surfac
vorub	prev
tur	door
womit	by which
teilung	divis
gebraucht	need
funf	five
mord	murder
straf	punish
mittag	midday
element	element
predig	preach
angeleg	creat
sobald	as soon a
breit	broad
wandt	turn
freien	free
elt	elt
angeschaut	watch
zusammensetz	put togeth
erzbischof	archbishop
eil	hurri
aufrecht	upright
beweisgrund	evid
misstrau	suspici
sphar	spher
urwes	urw
trieb	drove
lachend	laugh
widersprech	contradict
klang	sound
unrecht	wrong
angemess	appropri
tret	kick
engel	angel
abschied	farewel
frucht	fruit
gesehn	seen
besuch	visit
verschaff	procur
unterweg	on the way
froh	glad
siddharthas	siddhartha
soviel	so much
schuttelt	shake
transzendentalphilosophi	transcendental philosophi
himmlisch	heaven
richtung	direct
heimlich	secret
bleich	pale
sturzt	fall
orlean	orlean
monch	monk
leidend	suffer
gesund	healthi
grupp	group
bedient	serv
soweit	so far
erwacht	awaken
unterworf	subjug
gebiet	area
gezeigt	shown
funft	fifth
erwach	awak
zung	tongu
anmerk	note
beantwort	answer
bezieht	relat
angeb	indic
gethan	done
low	low
leidenschaft	passion
samsa	samsa
wendet	appli
verzeih	forgiv
herrlich	splendid
schrift	write
reis	rice
wahnsinn	crazi
wollust	lust
uberred	persuad
strom	electr
verandert	chang
streckt	stretch
schlechterding	bad th
flieh	flee
nas	na
einerlei	no matt
theologi	theolog
gelb	yellow
arg	bad
darunt	underneath
muh	moo
plan	plan
glanz	shine
handelt	act
oft	often
aufheb	cancel
sing	sing
merkmal	characterist
klopft	knock
feig	coward
anmass	presumptu
eingang	entranc
ruf	call
flucht	escap
flustert	whisper
skeptisch	skeptic
thor	thor
blatt	sheet
widerstand	resist
hol	get
reif	ripe
farb	color
sitzt	sit
selt	rare
vereinigt	unit
beobachtet	observ
jedenfall	anyway
geschmack	tast
redlich	honest
schlief	slept
rational	ration
wiederholt	repeat
negativ	negat
verein	associ
weich	soft
offent	open
zehn	ten
ergriff	seiz
verliess	left
notwendigerweis	necessarili
winkel	angl
hinunt	down
imgleich	at the same tim
uberfluss	abund
wahn	delus
konstruktion	construct
merk	notic
konstitutiv	constitut
itali	italian
hing	hung
drang	urg
willkomm	welcom
tauschung	illus
gart	garden
kamaswami	kamaswami
argument	argument
ausserd	also
merkt	notic
asthet	esthet
sagst	say
furchtet	fear
balzac	balzac
fleisch	meat
predigt	sermon
trost	comfort
hinzu	ad
hieraus	from her
tropf	drip
zart	tender
klag	sue
krumm	crook
verand	verandah
bureau	bureau.bureau
larm	nois
erstlich	first
anstreng	strenuous
zunach	according to
ungeheu	tremend
gleichzeit	equal tim
verdacht	suspect
erzeugt	generat
umstand	fact
bau	build
nebenzimm	adjoining room
angewandt	appli
bezeichn	design
blendwerk	dazzl
spekulation	specul
ton	volum
triangel	triangl
aufgehob	repeal
psychologi	psycholog
zuflucht	refug
gesucht	want
prinzipium	principl
fertig	complet
ertrag	yield
werdet	will
stoss	push
einstimm	agre
bart	beard
ehrwurd	vener
missverstand	misunderstood
montag	monday
nackt	nake
gespen	spook
nannt	call
wann	when
erkennt	recogn
grun	green
scheu	shi
kirch	church
schliesst	close
voraussetzt	assum
ableit	deriv
disziplin	disciplin
kanon	canon
stuf	stage
problemat	problemat
herum	around
thorheit	folli
beginn	start
goldn	goldn
verfolg	pursu
qualitat	qualiti
schaut	look
worin	wherein
moment	moment
verflucht	cur
fahrt	drive
behalt	keep
hang	hillsid
schauspiel	play
erzeug	produc
bericht	report
substratum	substratum
speis	food
kerz	candl
kerl	guy
beugt	bend
mir	me
mag	like
bedi	bedi
leitfad	guid
stellung	posit
einbild	a pictur
papi	daddi
begleit	accompani
hindernis	obstacl
floh	escap
gemeinsam	togeth
begierd	desir
floss	raft
ubergang	cross
gerichtet	direct
irgendwo	somewher
innerhalb	within
kanape	canap
gelacht	laugh
anhang	attach
hain	grove
dorf	villag
student	university stud
gebor	born
brunn	well
furchtbar	terribl
spitz	point
eng	close
horch	listen
zartlich	tender
treibt	drive
menschheit	human
verhaftet	arrest
ausgang	exit
grausam	aw
anschein	appar
bruck	bruck
aufhor	stop
freundschaft	friendship
markt	market
flamm	flame
wahrgenomm	perceiv
rthlr	rthlr
nachforsch	investig
schoss	lap
lautet	is
entschuld	sorri
reim	rhyme
scen	scen
krankheit	ill
axiom	axiom
maxim	max
vorstellt	present
rechtfert	justifi
ruft	call
merkwurd	strang
versohn	reconcili
gesteh	confess
schul	school
zug	train
freylich	of cours
begleitet	accompani
eitel	vain
agn	agn
befind	locat
starr	rigid
bekam	got
einwurf	throw-in
flugel	wing
gedenk	commemor
schafft	creat
gunstig	cheap
paralogism	paralog
paus	paus
beschaft	employ
sieb	siev
tot	dead
billig	cheap
angestellt	employ
fortschritt	progress
zitt	shiver
fang	catch
titel	titl
margot	margot
luck	luck
ungewiss	uncertain
ehrfurcht	awe
vermut	guess
fisch	fish
insof	insofar
erschreckt	frighten
erstaunt	astonish
gebet	prayer
beruhrt	touch
kontinui	continu
freie	free
herein	in
aufsteig	ascend
vernunftgebrauch	use of reason
weist	point
vergass	forgot
wandelt	chang
intelligenz	intellig
fluchtig	volatil
vertrau	trust
wirft	throw
flog	flew
wunderbar	wonder
verwirr	confus
bust	bust
geheim	secret
pfeil	arrow
nutzlich	use
nichtsein	not b
gehst	go
auftrag	order
system	system
rund	around
zahn	tooth
empfang	recept
geoffnet	open
arbeitet	is work
entwurf	draft
allenfall	at most
leist	perform
belieb	ani
immerhin	anyway
donn	donn
darob	therefor
bus	bus
gebirg	mountain
trubsal	gloomi
buss	bus
entdeckt	discov
jag	hunt
entspringt	aris
ebendem	also
ausdehn	expand
adl	adl
existier	exist
wechsel	chang
betrug	fraud
gleichart	same kind
erkenntniss	cognit
schiff	ship
intellektuell	intellectu
hypothet	hypothet
physisch	physic
verglich	compar
posteriori	posteriori
heilg	holi
greis	old man
hind	hind
unaufhor	incess
derart	like that
irgendwi	somehow
kumm	cum
entschloss	decid
pflegt	maintain
besprech	discus
wend	wend
erinn	rememb
horcht	listen
entschluss	decis
zwing	forc
allmah	gradual
sichtbar	visibl
zwang	oblig
strass	strass
gret	gret
verbot	ban
versteckt	hidden
sorgfalt	care
samt	velvet
andererseit	on the other hand
zerstreut	scatter
verleg	publish
wahrhaft	truli
aussicht	outlook
qual	agoni
verdient	earn
sprung	leap
fruhstuck	breakfast
freiwill	voluntari
hinausgeh	go out
prinzips	principl
stiess	push
entsetz	horrifi
richtet	direct
lauft	run
vergeh	pas
seitd	since then
gift	poison
entfern	remov
gebt	give
unterhalt	entertain
schreibtisch	desk
erstaun	astonish
wiederhol	repeat
seufz	sigh
befried	satisfi
umgekehrt	vice versa
umgeb	surround
geruch	odor
erford	requir
uberzeugt	convinc
spass	fun
turm	tower
erstenmal	first tim
haut	skin
vernunfterkenntnis	rational knowledg
unruh	unrest
arzt	physician
eingeschloss	includ
verrath	betray
herold	herald
erlaub	allow
pat	pat
blum	flower
ubereinstimm	match
ehrlich	honest
ausgedehnt	extend
untergeordnet	subordin
dumm	dumb
schwermuth	melancholi
infolg	follow
neid	envi
gesindel	rabbl
auffall	strike
henk	henk
bestat	bestow
forder	demand
lieblich	love
berechtigt	justifi
griff	handl
wuch	woof
sech	six
dau	dau
gesellschaft	compani
preis	price
mess	measur
gottlos	godless
zuhor	listen
ruhrt	stir
gros	gross
gewonn	won
staat	countri
jedermann	anyon
dorthin	there
finst	dark
handeln	act
geschlecht	gender
innerst	innermost
schal	scarf
tafeln	panel
rathsel	rathsel
deg	deg
mask	mask
bekommt	receiv
antlitz	face
psycholog	psychologist
hirt	shepherd
inzwisch	meanwhil
uberdi	uberdi
beruhr	touch
erwag	dare
zerglieder	dissect
antreff	encount
antithesis	antithesi
meint	mean
anstatt	instead of
fangt	catch
erkenntniskraft	cognitive pow
wohn	residenti
bedienerin	oper
zieht	pull
eitl	vain
freispruch	acquitt
biss	bite
vorwart	forward
reisst	tear
verstandeserkenntnis	intellectual knowledg
knie	knee
korrespondiert	correspond
erschrak	frighten
tapf	brave
rett	save
vernicht	destroy
verehr	worship
prufung	test
los	come on
ergeb	result
abstrahi	abstracti
sank	sank
verschwind	disappear
ort	locat
bestimmbar	determin
deswill	deswil
kuss	kiss
hebt	lift
beginnt	begin
thur	thur
dieb	thief
steigt	increas
hinsicht	respect
traf	met
bauch	belli
ath	ath
gegend	area
unsinn	nonsens
fugt	join
mos	mo
bezeichnet	design
stor	sturgeon
unnot	unnecessari
warst	were
auseinand	apart
freut	happi
begegnet	encount
erscheint	appear
boot	boat
faust	fist
verhaft	arrest
allzu	too
sterblich	mortal
obersatz	superset
zuvor	befor
beweist	prove
tran	tran
ebensowen	likewis
mitteil	messag
treib	drive
angefuhrt	cite
sonntag	sunday
zitternd	trembl
umarm	hug
gewissermass	to a certain ext
selbstand	independ
wang	wang
zog	pull
empor	up
demut	humil
solang	as long a
schlagt	beat
spiegel	mirror
ontolog	ontolog
uberwund	overcom
gesamt	in tot
schaf	sheep
schrei	scream
seelenlehr	soul teach
gehorch	obey
eifersucht	jealousi
